$$$ 	date: 2020-12-02 22:53:37.911581	$$$

job_id	task_id	start_time		end_time	worker_id
0	0_M0	1606929855.526718	1606929856.9596531	1
1	1_M0	1606929856.0999582	1606929857.960738	1
2	2_M2	1606929857.513335	1606929859.963222	1
1	1_R0	1606929858.024601	1606929860.9652889	1
3	3_M2	1606929858.9722996	1606929861.9677153	1
1	1_R1	1606929861.0057352	1606929862.969387	1
2	2_R0	1606929860.0316687	1606929863.9710648	1
3	3_R0	1606929861.9896405	1606929865.9735334	1
0	0_M0	1606930436.8114734	1606930438.1393726	1
1	1_M2	1606930438.0758715	1606930441.1443377	1
2	2_M2	1606930438.210248	1606930441.144848	1
0	0_R0	1606930438.1856842	1606930442.1451879	1
4	4_M1	1606930440.5886672	1606930444.1488507	1
1	1_R0	1606930441.1681373	1606930445.1508667	1
6	6_M1	1606930441.8473926	1606930446.1519434	1
4	4_R0	1606930444.1693223	1606930447.153721	1
1	1_R1	1606930445.1792583	1606930448.155072	1
7	7_M0	1606930445.5131836	1606930449.1565013	1
8	8_M0	1606930446.5150793	1606930449.1569667	1
6	6_R0	1606930446.1733608	1606930450.15871	1
4	4_R1	1606930447.1660275	1606930451.161047	1
8	8_R0	1606930449.2087588	1606930452.1633449	1
0	0_M3	1606930552.1037164	1606930553.4245644	1
0	0_M0	1606930552.103509	1606930554.4264011	1
3	3_M0	1606930553.156544	1606930554.4268596	1
1	1_M2	1606930552.230579	1606930555.4285803	1
4	4_M1	1606930555.0005882	1606930558.4342914	1
1	1_R0	1606930555.4537065	1606930559.4348662	1
4	4_R0	1606930558.5024154	1606930560.4364214	1
1	1_R1	1606930559.469272	1606930561.4377904	1
4	4_R1	1606930560.5102587	1606930562.4390073	1
0	0_M1	1606930696.6986463	1606930699.048957	1
1	1_M2	1606930698.0813022	1606930700.050551	1
3	3_M0	1606930698.5725157	1606930700.0509415	1
1	1_M0	1606930698.0811524	1606930701.0524707	1
2	2_M1	1606930698.41412	1606930702.0531178	1
3	3_R0	1606930700.0828834	1606930703.054779	1
1	1_R0	1606930701.0869834	1606930704.0563545	1
2	2_R0	1606930702.0823095	1606930706.0597806	1
3	3_R1	1606930703.1326675	1606930707.0606315	1
1	1_R1	1606930704.0977416	1606930708.0624063	1
2	2_R1	1606930706.1238139	1606930709.0640206	1
