$$$ 	date: 2020-12-04 12:31:52.235429	$$$

job_id	task_id	start_time		end_time	worker_id
0	0_M1	1607065346.6873221	1607065348.2885606	2
0	0_M7	1607065346.691358	1607065348.2890718	2
1	1_M3	1607065346.694454	1607065348.28933	2
0	0_M4	1607065346.6894479	1607065349.290513	2
1	1_M0	1607065346.6929026	1607065350.2926152	2
1	1_M9	1607065348.296384	1607065350.2935464	2
1	1_M8	1607065348.2962222	1607065351.2944367	2
2	2_M3	1607065349.311883	1607065351.2948341	2
2	2_M0	1607065349.3107488	1607065352.2970116	2
3	3_M0	1607065350.301819	1607065352.2974098	2
2	2_M9	1607065350.3009565	1607065353.2987525	2
3	3_M6	1607065351.301672	1607065353.2992535	2
3	3_M5	1607065351.3011138	1607065354.3004887	2
4	4_M2	1607065352.3063447	1607065354.3010085	2
4	4_M1	1607065352.3052056	1607065355.3023129	2
4	4_M8	1607065353.3089	1607065355.3026998	2
4	4_M7	1607065353.3075664	1607065356.3045864	2
0	0_R4	1607065354.309307	1607065356.305098	2
0	0_R3	1607065354.3076165	1607065357.306821	2
1	1_R0	1607065355.3143384	1607065357.3072755	2
0	0_R9	1607065355.3113487	1607065358.3095324	2
1	1_R6	1607065356.3121734	1607065358.310063	2
1	1_R5	1607065356.311834	1607065359.3123674	2
2	2_R2	1607065357.31447	1607065359.3128734	2
2	2_R1	1607065357.3137593	1607065360.3141696	2
2	2_R8	1607065358.3171382	1607065360.3146656	2
2	2_R7	1607065358.3167892	1607065361.3158526	2
3	3_R4	1607065359.3206513	1607065361.3163466	2
3	3_R3	1607065359.319291	1607065362.3181627	2
4	4_R0	1607065360.3237507	1607065362.3187537	2
3	3_R9	1607065360.3225996	1607065363.3202922	2
4	4_R6	1607065361.328306	1607065363.3208396	2
4	4_R5	1607065361.3258772	1607065364.3219826	2
